id,code,name,reconcile,user_type_id/id,chart_template_id/id,note
account_111500,111500,約當現金,FALSE,account.data_account_type_liquidity,l10n_tw.tw_chart_template,非常用專案
account_112100,112100,指定為透過損益按公允價值衡量之金融資產-流動,FALSE,account.data_account_type_current_assets,l10n_tw.tw_chart_template,非常用專案
account_112200,112200,指定為透過損益按公允價值衡量之金融資產評價調整-流動,FALSE,account.data_account_type_current_assets,l10n_tw.tw_chart_template,非常用專案
account_112300,112300,持有供交易之金融資產-流動,FALSE,account.data_account_type_current_assets,l10n_tw.tw_chart_template,非常用專案
account_112400,112400,持有供交易之金融資產評價調整-流動,FALSE,account.data_account_type_current_assets,l10n_tw.tw_chart_template,非常用專案
account_113100,113100,備供出售金融資產-流動,FALSE,account.data_account_type_current_assets,l10n_tw.tw_chart_template,非常用專案
account_113200,113200,備供出售金融資產評價調整-流動,FALSE,account.data_account_type_current_assets,l10n_tw.tw_chart_template,非常用專案
account_113300,113300,累計減損-備供出售金融資產-流動,FALSE,account.data_account_type_current_assets,l10n_tw.tw_chart_template,非常用專案
account_114100,114100,以成本衡量之金融資產-流動,FALSE,account.data_account_type_current_assets,l10n_tw.tw_chart_template,非常用專案
account_114200,114200,累計減損-以成本衡量之金融資產-流動,FALSE,account.data_account_type_current_assets,l10n_tw.tw_chart_template,非常用專案
account_115100,115100,無活絡市場之債務工具投資－流動,FALSE,account.data_account_type_current_assets,l10n_tw.tw_chart_template,非常用專案
account_115200,115200,累計減損-無活絡市場之債務工具投資－流動,FALSE,account.data_account_type_current_assets,l10n_tw.tw_chart_template,非常用專案
account_116100,116100,持有至到期日金融資產－流動,FALSE,account.data_account_type_current_assets,l10n_tw.tw_chart_template,非常用專案
account_116200,116200,累計減損-持有至到期日金融資產－流動,FALSE,account.data_account_type_current_assets,l10n_tw.tw_chart_template,非常用專案
account_117100,117100,避險之衍生金融資產-流動,FALSE,account.data_account_type_current_assets,l10n_tw.tw_chart_template,非常用專案
account_117200,117200,避險之衍生金融資產評價調整-流動,FALSE,account.data_account_type_current_assets,l10n_tw.tw_chart_template,非常用專案
account_118100,118100,應收票據,TRUE,account.data_account_type_receivable,l10n_tw.tw_chart_template,
